author,bookformat,desc,genre,img,isbn,pages,rating,reviews,title,totalratings
Mark Haddon,Paperback,"Christopher John Francis Boone knows all the countries of the world and their capitals and every prime number up to 7,057. He relates well to animals but has no understanding of human emotions. He cannot stand to be touched. And he detests the color yellow.,Although gifted with a superbly logical brain, for fifteen-year-old Christopher everyday interactions and admonishments have little meaning. He lives on patterns, rules, and a diagram kept in his pocket. Then one day, a neighbor's dog, Wellington, is killed and his carefully constructive universe is threatened. Christopher sets out to solve the murder in the style of his favourite (logical) detective, Sherlock Holmes. What follows makes for a novel that is funny, poignant and fascinating in its portrayal of a person whose curse and blessing are a mind that perceives the world entirely literally.","Fiction,Mystery,Young Adult,Contemporary,Novels,Classics,Psychology,Literature,Realistic Fiction,Academic,School",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1479863624l/1618._SY475_.jpg,1400032717,226,3.89,45871,The Curious Incident of the Dog in the Night-Time,1255546
Veronica Roth,Hardcover,"One choice can transform youâ€”or it can destroy you. But every choice has consequences, and as unrest surges in the factions all around her, Tris Prior must continue trying to save those she lovesâ€”and herselfâ€”while grappling with haunting questions of grief and forgiveness, identity and loyalty, politics and love.,Tris's initiation day should have been marked by celebration and victory with her chosen faction; instead, the day ended with unspeakable horrors. War now looms as conflict between the factions and their ideologies grows. And in times of war, sides must be chosen, secrets will emerge, and choices will become even more irrevocableâ€”and even more powerful. Transformed by her own decisions but also by haunting grief and guilt, radical new discoveries, and shifting relationships, Tris must fully embrace her Divergence, even if she does not know what she may lose by doing so.,New York Times, bestselling author Veronica Roth's much-anticipated second book of the dystopian ,DIVERGENT, series is another intoxicating thrill ride of a story, rich with hallmark twists, heartbreaks, romance, and powerful insights about human nature.","Young Adult,Science Fiction,Dystopia,Fiction,Fantasy,Science Fiction,Romance,Adventure,Young Adult,Teen,Apocalyptic,Post Apocalyptic,Action",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1618525340l/11735983._SY475_.jpg,7442912,525,4.01,59515,Insurgent,1238211
Khaled Hosseini,Hardcover,"A Thousand Splendid Suns, is a breathtaking story set against the volatile events of Afghanistan's last thirty years - from the Soviet invasion to the reign of the Taliban to post-Taliban rebuilding - that puts the violence, fear, hope, and faith of this country in intimate, human terms. It is a tale of two generations of characters brought jarringly together by the tragic sweep of war, where personal lives - the struggle to survive, raise a family, find happiness - are inextricable from the history playing out around them.,Propelled by the same storytelling instinct that made ,The Kite Runner, a beloved classic, ,A Thousand Splendid Suns, is at once a remarkable chronicle of three decades of Afghan history and a deeply moving account of family and friendship. It is a striking, heart-wrenching novel of an unforgiving time, an unlikely friendship, and an indestructible love - a stunning accomplishment.,--front flap","Fiction,Historical,Historical Fiction,Contemporary,Novels,Historical,War,Adult,Adult Fiction,Drama,Literature",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1345958969l/128029.jpg,1594489505,372,4.38,57133,A Thousand Splendid Suns,1218044
Stephen King,Paperback,"Jack Torrance's new job at the Overlook Hotel is the perfect chance for a fresh start. As the off-season caretaker at the atmospheric old hotel, he'll have plenty of time to spend reconnecting with his family and working on his writing. But as the harsh winter weather sets in, the idyllic location feels ever more remote...and more sinister. And the only one to notice the strange and terrible forces gathering around the Overlook is Danny Torrance, a uniquely gifted five-year-old.","Horror,Fiction,Thriller,Classics,Fantasy,Mystery,Fantasy,Paranormal,Suspense,Novels,Adult",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1353277730l/11588.jpg,450040186,659,4.24,27151,The Shining,1192500
Jodi Picoult,Paperback,"Anna is not sick, but she might as well be. By age thirteen, she has undergone countless surgeries, transfusions, and shots so that her older sister, Kate, can somehow fight the leukemia that has plagued her since childhood. The product of preimplantation genetic diagnosis, Anna was conceived as a bone marrow match for Kateâ€”a life and a role that she has never challenged... until now. Like most teenagers, Anna is beginning to question who she truly is. But unlike most teenagers, she has always been defined in terms of her sisterâ€”and so Anna makes a decision that for most would be unthinkable, a decision that will tear her family apart and have perhaps fatal consequences for the sister she loves.,A provocative novel that raises some important ethical issues, ,My Sister's Keeper, is the story of one family's struggle for survival at all human costs and a stunning parable for all time.","Fiction,Contemporary,Womens Fiction,Chick Lit,Young Adult,Drama,Adult,Adult Fiction,Realistic Fiction,Family,Novels",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1369504683l/10917.jpg,743454537,423,4.08,33956,My Sister's Keeper,1091116
Walter Isaacson,Hardcover,"Walter Isaacson's ""enthralling"" (The New Yorker) worldwide bestselling biography of Apple cofounder Steve Jobs. Based on more than forty interviews with Steve Jobs conducted over two years--as well as interviews with more than 100 family members, friends, adversaries, competitors, and colleagues--Walter Isaacson has written a riveting story of the roller-coaster life and searingly intense personality of a creative entrepreneur whose passion for perfection and ferocious drive revolutionized six industries: personal computers, animated movies, music, phones, tablet computing, and digital publishing. Isaacson's portrait touched millions of readers. At a time when America is seeking ways to sustain its innovative edge, Jobs stands as the ultimate icon of inventiveness and applied imagination. He knew that the best way to create value in the twenty-first century was to connect creativity with technology. He built a company where leaps of the imagination were combined with remarkable feats of engineering. Although Jobs cooperated with the author, he asked for no control over what was written. He put nothing off-limits. He encouraged the people he knew to speak honestly. He himself spoke candidly about the people he worked with and competed against. His friends, foes, and colleagues offer an unvarnished view of the passions, perfectionism, obsessions, artistry, devilry, and compulsion for control that shaped his approach to business and the innovative products that resulted. His tale is instructive and cautionary, filled with lessons about innovation, character, leadership, and values. Steve Jobs is the inspiration for the movie of the same name starring Michael Fassbender, Kate Winslet, Seth Rogen, and Jeff Daniels, directed by Danny Boyle with a screenplay by Aaron Sorkin.","Biography,Nonfiction,Business,Science,Technology,History,Biography Memoir,Audiobook,Leadership,Autobiography,Memoir,Biography,Autobiography",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1511288482l/11084145._SY475_.jpg,1451648537,627,4.14,19077,Steve Jobs,1026052
Kiera Cass,Hardcover,"For thirty-five girls, the Selection is the chance of a lifetime. The opportunity to escape the life laid out for them since birth. To be swept up in a world of glittering gowns and priceless jewels. To live in a palace and compete for the heart of gorgeous Prince Maxon.,But for America Singer, being Selected is a nightmare. It means turning her back on her secret love with Aspen, who is a caste below her. Leaving her home to enter a fierce competition for a crown she doesn't want. Living in a palace that is constantly threatened by violent rebel attacks.,Then America meets Prince Maxon. Gradually, she starts to question all the plans she's made for herselfâ€”and realizes that the life she's always dreamed of may not compare to a future she never imagined.","Young Adult,Romance,Science Fiction,Dystopia,Fantasy,Fiction,Science Fiction,Audiobook,Young Adult,Teen,Womens Fiction,Chick Lit,Young Adult,Young Adult Fantasy",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1322103400l/10507293.jpg,62059939,336,4.12,54031,The Selection,1012178
"Bram Stoker,Nina Auerbach,David J. Skal",Paperback,"You can find an alternative cover edition for this ISBN ,here, and ,here,.,A rich selection of background and source materials is provided in three areas: Contexts includes probable inspirations for Dracula in the earlier works of James Malcolm Rymer and Emily Gerard. Also included are a discussion of Stoker's working notes for the novel and ""Dracula's Guest,"" the original opening chapter to Dracula. Reviews and Reactions reprints five early reviews of the novel. ""Dramatic and Film Variations"" focuses on theater and film adaptations of Dracula, two indications of the novel's unwavering appeal. David J. Skal, Gregory A. Waller, and Nina Auerbach offer their varied perspectives. Checklists of both dramatic and film adaptations are included.,Criticism collects seven theoretical interpretations of Dracula by Phyllis A. Roth, Carol A. Senf, Franco Moretti, Christopher Craft, Bram Dijkstra, Stephen D. Arata, and Talia Schaffer.,A Chronology and a Selected Bibliography are included.","Classics,Horror,Fiction,Fantasy,Paranormal,Vampires,Gothic,Fantasy,Paranormal,Literature,Audiobook,Literature,19th Century",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387151694l/17245.jpg,393970124,488,4.0,28627,Dracula,998401
Stephenie Meyer,Hardcover,"Melanie Stryder refuses to fade away. The earth has been invaded by a species that take over the minds of human hosts while leaving their bodies intact. Wanderer, the invading ""soul"" who has been given Melanie's body, didn't expect to find its former tenant refusing to relinquish possession of her mind.,As Melanie fills Wanderer's thoughts with visions of Jared, a human who still lives in hiding, Wanderer begins to yearn for a man she's never met. Reluctant allies, Wanderer and Melanie set off to search for the man they both love.,Also see: Alternate Cover Editions for this ISBN [ACE] , ,
  ,ACE #1,
, - ,
  ,ACE #2,
","Young Adult,Science Fiction,Fantasy,Romance,Fiction,Science Fiction,Dystopia,Fantasy,Paranormal,Science Fiction,Aliens,Adult,Romance,Paranormal Romance",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1318009171l/1656001.jpg,316068047,624,3.84,41905,The Host,929576
Rainbow Rowell,Hardcover,"Eleanor, is the new girl in town, and with her chaotic family life, her mismatched clothes and unruly red hair, she couldn't stick out more if she tried.,Park, is the boy at the back of the bus. Black T-shirts, headphones, head in a book - he thinks he's made himself invisible. But not to Eleanor... never to Eleanor.,Slowly, steadily, through late-night conversations and an ever-growing stack of mix tapes, Eleanor and Park fall for each other. They fall in love the way you do the first time, when you're young, and you feel as if you have nothing and everything to lose.","Young Adult,Romance,Contemporary,Fiction,Realistic Fiction,Audiobook,Young Adult,Teen,Young Adult,Coming Of Age,Young Adult,Young Adult Contemporary,Young Adult,High School",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1341952742l/15745753.jpg,1250012570,328,4.03,68679,Eleanor & Park,926692
Agatha Christie,Paperback,"First, there were tenâ€”a curious assortment of strangers summoned as weekend guests to a little private island off the coast of Devon. Their host, an eccentric millionaire unknown to all of them, is nowhere to be found. All that the guests have in common is a wicked past they're unwilling to revealâ€”and a secret that will seal their fate. For each has been marked for murder. A famous nursery rhyme is framed and hung in every room of the mansion:,""Ten little boys went out to dine; One choked his little self and then there were nine. Nine little boys sat up very late; One overslept himself and then there were eight. Eight little boys traveling in Devon; One said he'd stay there then there were seven. Seven little boys chopping up sticks; One chopped himself in half and then there were six. Six little boys playing with a hive; A bumblebee stung one and then there were five. Five little boys going in for law; One got in Chancery and then there were four. Four little boys going out to sea; A red herring swallowed one and then there were three. Three little boys walking in the zoo; A big bear hugged one and then there were two. Two little boys sitting in the sun; One got frizzled up and then there was one. One little boy left all alone; He went out and hanged himself and then there were none."",When they realize that murders are occurring as described in the rhyme, terror mounts. One by one they fall prey. Before the weekend is out, there will be none. Who has choreographed this dastardly scheme? And who will be left to tell the tale? Only the dead are above suspicion.","Mystery,Classics,Fiction,Mystery,Crime,Thriller,Thriller,Mystery Thriller,Audiobook,Adult,Suspense,Novels",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391120695l/16299.jpg,312330871,264,4.26,37944,And Then There Were None,916626
"Homer,Robert Fagles,Bernard Knox",Paperback,"Sing to me of the man, Muse, the man of twists and turns,driven time and again off course, once he had plundered,the hallowed heights of Troy.,So begins Robert Fagles' magnificent translation of the ,Odyssey,.,If the ,Iliad, is the world's greatest war epic, then the ,Odyssey, is literature's grandest evocation of everyman's journey though life. Odysseus' reliance on his wit and wiliness for survival in his encounters with divine and natural forces, during his ten-year voyage home to Ithaca after the Trojan War, is at once a timeless human story and an individual test of moral endurance. ,In the myths and legends that are retold here, Fagles has captured the energy and poetry of Homer's original in a bold, contemporary idiom, and given us an ,Odyssey, to read aloud, to savor, and to treasure for its sheer lyrical mastery.,Renowned classicist Bernard Knox's superb Introduction and textual commentary provide new insights and background information for the general reader and scholar alike, intensifying the strength of Fagles' translation.,This is an ,Odyssey, to delight both the classicist and the public at large, and to captivate a new generation of Homer's students.,--,Robert Fagles, winner of the PEN/Ralph Manheim Medal for Translation and a 1996 Academy Award in Literature from the American Academy of Arts and Letters, presents us with Homer's best-loved and most accessible poem in a stunning new modern-verse translation.","Classics,Fiction,Poetry,Fantasy,Mythology,Fantasy,Academic,School,Literature,Adventure,Academic,Read For School,Historical,Historical Fiction",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390173285l/1381.jpg,143039954,541,3.78,13300,The Odyssey,898828
Diana Gabaldon,Mass Market Paperback,"The year is 1945. Claire Randall, a former combat nurse, is just back from the war and reunited with her husband on a second honeymoon when she walks through a standing stone in one of the ancient circles that dot the British Isles. Suddenly she is a Sassenachâ€”an â€œoutlanderâ€â€”in a Scotland torn by war and raiding border clans in the year of Our Lord...1743., ,Hurled back in time by forces she cannot understand, Claire is catapulted into the intrigues of lairds and spies that may threaten her life, and shatter her heart. For here James Fraser, a gallant young Scots warrior, shows her a love so absolute that Claire becomes a woman torn between fidelity and desireâ€”and between two vastly different men in two irreconcilable lives.","Historical,Historical Fiction,Romance,Fantasy,Fiction,Science Fiction,Time Travel,Historical,Romance,Historical Romance,Adult,Audiobook,Cultural,Scotland",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529065012l/10964._SY475_.jpg,440242940,850,4.23,47147,Outlander,874998
George R.R. Martin,Paperback,"A comet the color of blood and flame cuts across the sky. Two great leadersâ€”Lord Eddard Stark and Robert Baratheonâ€”who hold sway over an age of enforced peace are dead, victims of royal treachery. Now, from the ancient citadel of Dragonstone to the forbidding shores of Winterfell, chaos reigns. Six factions struggle for control of a divided land and the Iron Throne of the Seven Kingdoms, preparing to stake their claims through tempest, turmoil, and war. ,It is a tale in which brother plots against brother and the dead rise to walk in the night. Here a princess masquerades as an orphan boy; a knight of the mind prepares a poison for a treacherous sorceress; and wild men descend from the Mountains of the Moon to ravage the countryside. Against a backdrop of incest and fratricide, alchemy and murder, victory may go to the men and women possessed of the coldest steel...and the coldest hearts. For when kings clash, the whole land trembles.,Here is the second volume in George R.R. Martin magnificent cycle of novels that includes ,A Game of Thrones, and ,A Storm of Swords,. As a whole, this series comprises a genuine masterpiece of modern fantasy, bringing together the best the genre has to offer. Magic, mystery, intrigue, romance, and adventure fill these pages and transport us to a world unlike any we have ever experienced. Already hailed as a classic, George R.R. Martin stunning series is destined to stand as one of the great achievements of imaginative fiction.","Fantasy,Fiction,Fantasy,Epic Fantasy,Science Fiction Fantasy,Fantasy,High Fantasy,Adult,Adventure,Fantasy,Dragons,Audiobook,Epic",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1567840212l/10572.jpg,553381695,969,4.41,24450,A Clash of Kings,817634
Cassandra Clare,Hardcover,"Also see: Alternate Cover Editions for this ISBN [ACE] , ,
  ,ACE #1,
,Clary Fray just wishes that her life would go back to normal. But what's normal when you're a demon-slaying Shadowhunter, your mother is in a magically induced coma, and you can suddenly see Downworlders like werewolves, vampires, and faeries? If Clary left the world of the Shadowhunters behind, it would mean more time with her best friend, Simon, who's becoming more than a friend. But the Shadowhunting world isn't ready to let her go â€” especially her handsome, infuriating, newfound brother, Jace. And Clary's only chance to help her mother is to track down rogue Shadowhunter Valentine, who is probably insane, certainly evil â€” and also her father.,To complicate matters, someone in New York City is murdering Downworlder children. Is Valentine behind the killings â€” and if he is, what is he trying to do? When the second of the Mortal Instruments, the Soul-Sword, is stolen, the terrifying Inquisitor arrives to investigate and zooms right in on Jace. How can Clary stop Valentine if Jace is willing to betray everything he believes in to help their father?,In this breathtaking sequel to ,City of Bones,, Cassandra Clare lures her readers back into the dark grip of New York City's Downworld, where love is never safe and power becomes the deadliest temptation.","Fantasy,Young Adult,Fantasy,Paranormal,Romance,Fantasy,Urban Fantasy,Paranormal,Vampires,Fiction,Fantasy,Supernatural,Paranormal,Angels,Fantasy,Magic",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432730356l/1582996._SY475_.jpg,1416914293,453,4.15,30710,City of Ashes,798067
E.L. James,Paperback,"Daunted by the singular sexual tastes and dark secrets of the beautiful, tormented young entrepreneur Christian Grey, Anastasia Steele has broken off their relationship to start a new career with a Seattle publishing house. But desire for Christian still dominates her every waking thought, and when he proposes a new arrangement, Anastasia cannot resist. They rekindle their searing sensual affair, and Anastasia learns more about the harrowing past of her damaged, driven, and demanding Fifty Shades. While Christian wrestles with his inner demons, Anastasia must confront her anger and envy of the women who came before her and make the most important decision of her life. Erotic, sparkling and suspenseful, ,Fifty Shades Darker, is the irresistibly addictive second part of the Fifty Shades trilogy.","Romance,Adult Fiction,Erotica,Fiction,Erotica,BDSM,Adult,Contemporary,Romance,Contemporary Romance,Womens Fiction,Chick Lit,Romance,Erotic Romance,Adult Fiction",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358266080l/11857408.jpg,1612130585,532,3.84,29361,Fifty Shades Darker,779074
